105	arin	MOT-MCD-AS - Gould Computer Systems Division, US
106	arin	GDAIS-ASN-106 - General Dynamics Advanced Information Systems, Inc., US
107	arin	ECSNET-AS - 754th Electronic Systems Group, US
108	arin	XEROX-AS - Xerox Corporation, US
109	arin	CISCOSYSTEMS - Cisco Systems, Inc., US
110	arin	XAIT-AS - Xerox Advanced Information Technology, US
111	arin	BOSTONU-AS - Boston University, US
112	arin	ROOTSERV - DNS-OARC, US
113	arin	SCCNET-AS - Space Communications Company, US
114	arin	NTTA-114 - NTT America, Inc., US
115	arin	DNIC-AS-00115 - DoD Network Information Center, US
116	arin	TELCORDIA - Telcordia Technologies, US
117	arin	ALBM-NET-AS - Lockheed Austin Division, US
118	arin	DNIC-AS-00118 - DoD Network Information Center, US
119	arin	AMS-AS - American Mathematical Society, US
120	arin	MITRE-OMAHA - The MITRE Corporation, US
121	arin	DNIC-AS-00121 - DoD Network Information Center, US
122	arin	U-PGH-NET-AS - UPMC, US
123	arin	LOGAIRCOMNET-AS - 754th Electronic Systems Group, US
124	arin	DNIC-AS-00124 - DoD Network Information Center, US
125	arin	HI-NET-AS - Honeywell International, Inc., US
126	arin	DNIC-AS-00126 - DoD Network Information Center, US
127	arin	JPL-AS127 - Jet Propulsion Laboratory, US
128	arin	ADS-AS - Advanced Decision Systems, US
129	arin	DNIC-AS-00129 - DoD Network Information Center, US
130	arin	CSOCNET-AS - Space Communications Division, US
131	arin	UCSB-NET-AS - University of California, Santa Barbara, US
132	arin	WPAFB-CSD-NET-AS - 754th Electronic Systems Group, US
133	arin	AFIT-AS - 754th Electronic Systems Group, US
134	arin	CORONA-GW-AS - Fleet Analysis Center, US
135	arin	DNIC-AS-00135 - DoD Network Information Center, US
136	arin	AF-ASN-136 - 754th Electronic Systems Group, US
137	ripencc	ASGARR Consortium GARR, IT
138	arin	DNIC-AS-00138 - DoD Network Information Center, US
139	arin	DNIC-AS-00139 - Navy Network Information Center (NNIC), US
140	arin	DNIC-AS-00140 - DoD Network Information Center, US
141	arin	DNIC-AS-00141 - Navy Network Information Center (NNIC), US
142	arin	DNIC-AS-00142 - Headquarters, USAISC, US
143	arin	OOG1-AS - 1881CS/XPC, US
144	arin	ATT-INTERNET - Lucent Technologies/Bell Laboratories, US
145	arin	VBNS - MCI Communications Corporation, US
